buurt_idx,mean_distance,std_distance,mean_pct_100m,mean_pct_250m,mean_pct_500m,total_addresses,n_observations,percentage_met_herkomstland_buiten_europa,personenautos_per_huishouden,bevolkingsdichtheid_inwoners_per_km2,percentage_koopwoningen,buurtcode,gemiddeld_inkomen_per_inwoner,gemiddeld_inkomen_per_ontvanger,gemiddelde_woz_waarde,pct_huishoudens_laag_inkomen,pct_personen_laagste_40,pct_personen_hoogste_20,buurtnaam
78,2261.1550593869124,1260.1979836579844,5.50243321741335,5.631396495946475,11.780743069904037,943,7889,27.0,0.7,1597.0,,BU05183399,37.9,46.6,447.0,4.9,48.1,23.6,De Uithof
79,946.8909234414647,557.4636046652807,3.0672865133042344,13.719568357957703,38.320744828736885,3124,7889,61.0,0.6,14030.0,,BU05183480,23.0,29.5,198.0,8.5,50.8,7.3,Morgenstond-Zuid
80,851.0761696585804,412.7376796520133,0.28895549403892995,5.0547290722463165,25.475218728789443,3627,7889,63.0,0.7,13067.0,,BU05183488,27.1,35.0,289.0,4.7,43.2,15.6,Morgenstond-West
81,568.8142464599285,288.60416455406465,2.7742790993195703,14.90630548048404,54.177189132518755,3537,7889,61.0,0.5,10249.0,,BU05183489,24.3,30.7,207.0,7.7,51.0,9.4,Morgenstond-Oost
82,365.75644572682,340.9895685768999,0.0,68.28658528167432,68.71894566817564,101,7889,32.0,0.5,158.0,,BU05183536,23.8,24.8,188.0,11.2,64.5,3.9,Zuiderpark
83,1139.1764992211229,182.49966716096247,0.0,0.0,0.0,1763,7889,68.0,0.6,8739.0,,BU05183620,22.6,29.9,210.0,10.0,52.9,8.3,Moerwijk-Oost
84,674.7518337737233,272.91591185632456,1.9168917877897078,8.968723310992686,29.428177534156113,3323,7889,71.0,0.5,12435.0,,BU05183637,19.6,25.6,181.0,10.0,62.4,4.4,Moerwijk-West
85,655.0132197772713,190.76603398781782,2.702639476332123,10.422827022706803,28.01921795181091,3224,7889,55.0,0.5,15140.0,,BU05183638,22.9,29.1,217.0,8.3,50.3,7.5,Moerwijk-Noord
86,1032.0590370291852,339.2295286550536,0.0,0.0,9.23177894945258,2420,7889,71.0,0.6,11286.0,,BU05183639,23.8,32.0,218.0,8.9,50.6,11.3,Moerwijk-Zuid
87,420.3214075042725,244.9448310974483,2.4023547263845932,32.98916694322347,71.28275837106362,1723,7889,71.0,0.9,16462.0,,BU05183721,22.2,29.2,286.0,9.2,50.2,9.1,Groente- en Fruitmarkt
88,239.31188725289803,80.69157955727941,23.377458280585685,57.856859822564324,94.76175417550384,3238,7889,65.0,0.3,18197.0,,BU05183819,24.6,29.1,211.0,7.5,54.8,11.7,Laakhaven-Oost
89,612.6093803134402,92.86435615537289,3.3768742099848246,11.024735270146373,25.884186596387664,3735,7889,70.0,0.5,12794.0,,BU05183822,26.8,32.8,228.0,7.7,46.0,12.0,Laakhaven-West
90,1228.8229632556447,275.89990760426895,0.38640602086121,2.2891629417686836,6.920180555423486,1613,7889,67.0,0.7,12341.0,,BU05183823,23.6,30.6,281.0,7.4,49.9,10.6,Spoorwijk
91,946.9061588613079,219.59385349779177,0.42961746781374055,2.7629773398771187,8.690840602440465,3517,7889,43.0,0.6,17760.0,,BU05183824,25.1,31.2,245.0,6.8,43.3,8.8,Laakkwartier-West
92,471.62839938863164,160.223049275341,1.142511294833093,16.257798696888464,63.995589753039475,5184,7889,40.0,0.5,21126.0,,BU05183825,25.2,30.9,240.0,7.1,44.0,9.0,Laakkwartier-Oost
93,611.6186737342666,178.4034560417007,1.3405612971725813,6.722666653228427,35.628361740350215,3924,7889,62.0,0.5,17089.0,,BU05183826,21.9,27.7,224.0,8.5,54.5,7.3,Noordpolderbuurt
94,999.8596884287272,305.5203869793542,7.167589100024672,7.468198008674245,13.023231511779036,1902,7889,55.0,1.1,1551.0,,BU05183960,49.6,59.6,309.0,2.9,18.3,44.4,Binckhorst
95,1450.1920070556705,702.7668322421908,0.05498854446055994,3.5302645543679483,11.219781147222339,1556,7889,52.0,1.0,4782.0,,BU05184001,34.7,44.6,429.0,4.1,35.1,26.2,Erasmus Veld
96,1858.9606513826466,959.5708615878964,0.7162935652945315,4.197744497292966,13.211860523559958,3155,7889,49.0,1.1,9042.0,,BU05184002,33.3,46.4,481.0,4.2,35.5,29.2,Hoge Veld
97,2217.126904875642,1218.9579460747755,0.0,0.0,4.3293711504155805,1066,7889,34.0,1.3,7617.0,,BU05184003,41.6,51.4,552.0,1.4,32.4,34.0,Parkbuurt oosteinde
98,1602.426471549962,675.2246378418868,0.0,0.0,5.070351121815186,63,7889,13.0,,93.0,,BU05184106,43.1,52.8,700.0,,34.0,34.7,Vlietzoom-West
99,,,,,,0,0,,,,,BU05184107,,,,,,,Vliegeniersbuurt
100,2619.5860230918297,1553.7138136845858,0.0,0.0,18.81270485123952,350,7889,68.0,0.9,1436.0,,BU05184110,28.5,39.3,378.0,9.4,36.7,17.5,De Reef
101,2314.319117746557,1345.3289492620954,0.0,0.0,2.866342356483636,668,7889,25.0,1.5,2781.0,,BU05184208,54.3,71.9,819.0,3.0,32.2,47.7,Bosweide
102,,,,,,0,0,,,,,BU05184209,,,,,,,Tedingerbroek
103,2576.5302735944115,1731.7409927066237,2.122350630636719,6.563943290973123,19.36267234309401,2686,7889,44.0,1.0,8416.0,,BU05184212,34.1,44.7,411.0,3.3,35.4,28.8,Morgenweide
104,2491.8686618568977,1716.4701743382998,2.291458105225755,8.244966079550615,20.19481302082138,2032,7889,41.0,1.0,9887.0,,BU05184213,33.9,43.1,427.0,3.8,37.7,27.2,Singels
105,2845.3879749753733,1867.4321205944166,0.0,0.7027151851557587,7.079204828235791,1672,7889,42.0,1.1,5692.0,,BU05184214,32.8,41.9,412.0,3.8,37.1,26.0,Waterbuurt
106,3517.787299363653,2013.1020365399838,0.0,0.0,0.0,1100,7889,25.0,1.2,6703.0,,BU05184215,38.8,50.8,550.0,2.1,37.2,34.4,De Bras
107,1731.7453435836308,814.5852531426586,0.0,0.0,3.3274179236912156,32,7889,10.0,1.3,79.0,,BU05184316,60.0,,836.0,,,,Vlietzoom-Oost
108,,,,,,0,0,,,24.0,,BU05184317,,,,,,,De Rivieren
109,1065.8681255136444,253.8669816880306,0.0,0.0,0.0,999,7889,21.0,0.8,12318.0,,BU06030111,,,,,,,Cromvliet
110,1317.9693067149506,420.4554647862232,0.0,0.0,0.0,998,7889,16.0,1.1,9294.0,,BU06030112,,,,,,,Leeuwendaal
111,1003.0270006282955,283.28048328866186,0.0,0.0,9.985873384849773,1315,7889,24.0,0.8,10356.0,,BU06030221,,,,,,,Oud-Rijswijk
112,1428.6825735918637,601.8975321638065,0.0,0.0,0.38422259798094793,1484,7889,19.0,0.8,10168.0,,BU06030222,,,,,,,Bomenbuurt
113,1008.5097263428773,267.68004916482175,0.0,0.0,2.449935975431568,334,7889,23.0,0.7,3636.0,,BU06030223,,,,,,,Welgelegen
114,1402.7876603493673,325.45994436983204,0.0,0.0,0.0,2201,7889,25.0,0.7,9971.0,,BU06030224,,,,,,,Rembrandtkwartier
115,1724.8287818052142,613.6023982300177,0.0,0.0,0.0,269,7889,43.0,0.5,5305.0,,BU06030225,,,,,,,Havenkwartier
116,1408.7801349877855,952.4011919085424,11.167243896155938,19.70690099321636,40.72759538598048,62,7889,32.0,,739.0,,BU06030391,,,,,,,Hoornwijck
117,1529.2083704591103,919.692053440819,0.0,0.0,30.44284907638945,99,7889,16.0,,948.0,,BU06030392,,,,,,,Broekpolder
118,1509.4139876570473,271.40482834256403,0.0,0.0,0.0,68,7889,46.0,0.7,176.0,,BU06030431,,,,,,,Julianapark
119,2070.893426486142,273.30420491499007,0.0,0.0,0.0,616,7889,19.0,0.9,7532.0,,BU06030432,,,,,,,Huis te Lande
120,1972.9885789058753,329.6754145038897,0.0,0.0,0.0,2075,7889,36.0,0.7,5363.0,,BU06030434,,,,,,,Te Werve
121,2235.0452666321485,520.4251481401332,0.0,0.0,0.0,1249,7889,51.0,2.2,1139.0,,BU06030581,,,,,,,Plaspoelpolder
122,2445.66139265942,299.31681844380705,0.0,0.0,0.0,1002,7889,34.0,0.8,8791.0,,BU06030633,,,,,,,Stationskwartier
123,1473.396984138585,231.0642118950049,0.0,0.0,0.0,2,7889,,,45.0,,BU06030641,,,,,,,Spoorzicht
124,2048.6724075754923,277.48489238164836,0.0,0.0,0.0,1505,7889,33.0,0.7,9996.0,,BU06030642,,,,,,,Kleurenbuurt
125,2495.142356029465,304.09357328405656,0.0,0.0,0.0,1342,7889,44.0,0.5,8074.0,,BU06030643,,,,,,,Artiestenbuurt
126,2907.158485913642,561.1559050550404,0.0,0.0,0.0,2197,7889,47.0,0.7,8608.0,,BU06030771,,,,,,,Muziekbuurt
127,,,,,,0,0,,,,,BU06030772,,,,,,,Wilhelminapark
128,2077.70420060677,300.11959934090896,0.0,0.0,0.0,345,7889,16.0,0.6,818.0,,BU06030851,,,,,,,Overvoorde
129,1923.892311457288,640.608724187131,0.0,0.0,0.0,1569,7889,25.0,1.2,5758.0,,BU06030852,,,,,,,Strijp
130,1944.2388628667766,383.3395006472846,0.0,0.0,0.0,424,7889,29.0,1.0,7467.0,,BU06030853,,,,,,,Presidentenbuurt
131,2324.469597614198,502.8140275093309,0.0,0.0,0.0,2247,7889,36.0,0.8,8429.0,,BU06030854,,,,,,,Ministerbuurt
132,2624.762547418319,894.8398720592653,0.0,0.0,0.0,3263,7889,45.0,0.8,10959.0,,BU06030961,,,,,,,Stervoorde
133,2287.0403736121248,1098.4255283919208,0.0,0.0,0.0,302,7889,33.0,1.4,2036.0,,BU06030962,,,,,,,Eikelenburg
134,2809.8500242675846,834.2410366735529,0.0,0.0,0.0,7,7889,,,21.0,,BU06031082,,,,,,,Elsenburg
135,3412.2136321444127,1120.8534485539583,0.0,0.0,0.0,165,7889,12.0,1.1,1014.0,,BU06031083,,,,,,,Pasgeld
136,2589.588138525976,1023.6157481052176,0.0,0.0,0.0,4,7889,,,25.0,,BU06031193,,,,,,,Kraayenburg
137,3470.5009869123846,1311.5841705913622,0.0,0.0,0.0,299,7889,19.0,1.0,4059.0,,BU06031194,,,,,,,Vrijenban
138,3421.149562808264,184.65020664618805,0.0,0.0,0.0,228,7889,24.0,1.4,608.0,,BU06290001,,,,,,,Oud-Wassenaar
139,2532.458642174418,167.39228644582906,0.0,0.0,0.0,564,7889,25.0,1.5,1214.0,,BU06290002,,,,,,,Nieuw-Wassenaar
140,1086.5018703846788,165.99083843770322,0.0,0.7376809757119158,4.859545762674499,92,7889,17.0,1.3,100.0,,BU06290003,,,,,,,Duindigt met Groenendaal
