identificatie,lat,lon,gebruiksdoel,activity_function_count,oppervlakte_m2
0518010000365466,52.083071093478296,4.309285667698214,"kantoorfunctie,woonfunctie",1,352
0518010000364473,52.0901374234648,4.349967003243752,sportfunctie,1,313
0518010000366479,52.053180932931355,4.234212188917359,winkelfunctie,1,138
0518010000362005,52.080171578197046,4.27653170050044,"winkelfunctie,woonfunctie",1,153
0518010000365493,52.06184742781158,4.296250568678792,winkelfunctie,1,120
0518010000361091,52.08496950976624,4.330395045397028,kantoorfunctie,1,255
0518010000366483,52.08751694037675,4.318946340726876,kantoorfunctie,1,262
0518010000359253,52.11067927198911,4.2903516454266715,"winkelfunctie,woonfunctie",1,177
0518010000364487,52.089163148403586,4.310231871829292,winkelfunctie,1,90
0518010000367419,52.06352256844017,4.328309479859599,"kantoorfunctie,woonfunctie",1,86
0518010000360195,52.06742422382892,4.292673182375011,"winkelfunctie,woonfunctie",1,52
0518010000362029,52.07589456371911,4.2688572040149015,"winkelfunctie,woonfunctie",1,138
0518010000364513,52.05892518839863,4.325082303364821,"winkelfunctie,woonfunctie",1,93
0518010000365529,52.061445018423036,4.296631080956197,bijeenkomstfunctie,1,60
0518010000362049,52.081348931716086,4.343059557862081,kantoorfunctie,1,86
0518010000362791,52.07793962071026,4.262427506585366,"winkelfunctie,woonfunctie",1,98
0518010000366541,52.08407961175071,4.312902089321211,kantoorfunctie,1,165
0518010000363600,52.061558462252,4.324792867004525,"winkelfunctie,woonfunctie",1,77
0518010000367467,52.077293462777604,4.308701258250418,winkelfunctie,1,48
0518010000359311,52.09240751837806,4.358184291915264,kantoorfunctie,1,146
0518010000364545,52.08145362035688,4.287538565844205,"kantoorfunctie,woonfunctie",1,273
0518010000362821,52.10467808058629,4.277987957456412,"winkelfunctie,woonfunctie",1,135
0518010000364559,52.08409778100251,4.28395863658792,kantoorfunctie,1,167
0518010000360275,52.09623634576306,4.278489984291687,"winkelfunctie,woonfunctie",1,298
0518010000362119,52.0885352613698,4.309579165437362,winkelfunctie,1,106
0518010000362121,52.088580570265414,4.3095335973544255,winkelfunctie,1,98
0518010000360277,52.08871597435112,4.276474450824056,"kantoorfunctie,woonfunctie",1,281
0518010000362127,52.062038369588365,4.269569440185518,winkelfunctie,1,75
0518010000362848,52.08092769787315,4.31917380590951,winkelfunctie,1,100
0518010000362129,52.061851815207866,4.269265297772832,winkelfunctie,1,126
0518010000366597,52.042924509064434,4.27728459210057,winkelfunctie,1,42
0518010000361213,52.10664667950427,4.27320810979483,"kantoorfunctie,woonfunctie",1,895
0518010000365601,52.064585148599974,4.326425713334906,"winkelfunctie,woonfunctie",1,69
0518010000362868,52.10563130068214,4.2773873759516325,bijeenkomstfunctie,1,112
0518010000362149,52.091567551305616,4.274716418660457,winkelfunctie,1,162
0518010000366619,52.08087145325251,4.30879840297075,"kantoorfunctie,woonfunctie",1,333
0518010000363692,52.044075698490325,4.296235327867653,bijeenkomstfunctie,1,2815
0518010000360303,52.08410322521475,4.279256309750373,winkelfunctie,1,108
0518010000366629,52.07227730808694,4.309606081554396,"kantoorfunctie,woonfunctie",1,149
0518010000364617,52.05655873157797,4.317865864404294,"kantoorfunctie,woonfunctie",1,68
0518010000364627,52.05296612595403,4.233721052235082,winkelfunctie,1,65
0518010000364631,52.07091499103988,4.267820042500275,kantoorfunctie,1,113
0518010000360347,52.040194595256146,4.253642913279386,sportfunctie,1,907
0518010000361273,52.076131322005494,4.276450643875829,"winkelfunctie,woonfunctie",1,106
0518010000360353,52.04239728135657,4.261346060381899,winkelfunctie,1,184
0518010000367658,52.08020376047799,4.307298639072629,winkelfunctie,1,172
0518010000362931,52.08117169480387,4.319741011219464,bijeenkomstfunctie,1,319
0518010000364662,52.0609020237954,4.297575083044883,winkelfunctie,1,116
0518010000368456,52.05221691038158,4.266708209053829,gezondheidszorgfunctie,1,124
0518010000362933,52.07338969607844,4.277227586814151,"winkelfunctie,woonfunctie",1,156
0518010000363764,52.08226096323775,4.289191639349123,"winkelfunctie,woonfunctie",1,226
0518010000362939,52.071085903028425,4.3021287450560175,"winkelfunctie,woonfunctie",1,57
0518010000362943,52.07110973309069,4.302197160073548,winkelfunctie,1,60
0518010000362241,52.0758594715311,4.268760619766632,bijeenkomstfunctie,1,273
0518010000365707,52.105122966366764,4.274820884872348,winkelfunctie,1,80
0518010000367706,52.082805793934085,4.314737532825161,"kantoorfunctie,woonfunctie",1,275
0518010000361332,52.06322864123574,4.285547065674966,"winkelfunctie,woonfunctie",1,106
0518010000362265,52.11232392256695,4.2815208920746874,bijeenkomstfunctie,1,66
0518010000362267,52.08576764749427,4.297938715707164,"kantoorfunctie,woonfunctie",1,312
0518010000365727,52.08166342984134,4.28728078633451,winkelfunctie,1,184
0518010000364712,52.086880418083595,4.274540507588895,"kantoorfunctie,woonfunctie",1,113
0518010000362973,52.06708581252519,4.292415634878718,"winkelfunctie,woonfunctie",1,63
0518010000363807,52.06656121181887,4.297405512154092,winkelfunctie,1,193
0518010000363811,52.066370946222776,4.297600782842686,bijeenkomstfunctie,1,65
0518010000362987,52.080225923819285,4.3181857762725455,"winkelfunctie,woonfunctie",1,27
0518010000362989,52.08024546433602,4.317958811988839,"winkelfunctie,woonfunctie",1,174
0518010000364738,52.069652093238496,4.305585572495473,winkelfunctie,1,74
0518010000369487,52.08275246876938,4.2873315499820075,"winkelfunctie,woonfunctie",1,162
0518010000366804,52.06264106456938,4.328166798900508,"winkelfunctie,woonfunctie",1,76
0518010000363041,52.05684651922862,4.317455473208893,"winkelfunctie,woonfunctie",1,78
0518010000369517,52.050981142819516,4.254316484170101,kantoorfunctie,1,7057
0518010000365805,52.053446613839014,4.278615621576918,"kantoorfunctie,woonfunctie",1,202
0518010000365813,52.082754525325306,4.340803626952751,"kantoorfunctie,woonfunctie",1,283
0518010000368591,52.08041547020512,4.290103213344001,bijeenkomstfunctie,1,63
