buurt_idx,mean_distance,std_distance,mean_pct_100m,mean_pct_250m,mean_pct_500m,total_addresses,n_observations,percentage_met_herkomstland_buiten_europa,personenautos_per_huishouden,bevolkingsdichtheid_inwoners_per_km2,percentage_koopwoningen,buurtcode,gemiddeld_inkomen_per_inwoner,gemiddeld_inkomen_per_ontvanger,gemiddelde_woz_waarde,pct_huishoudens_laag_inkomen,pct_personen_laagste_40,pct_personen_hoogste_20,buurtnaam
16,140.5704190801574,36.187519970729674,28.769490057087218,91.89067100523674,99.68095439538494,3146,1883,22.0,0.6,8795.0,,BU05180703,37.9,46.0,405.0,4.9,34.7,27.9,Scheveningen Badplaats
17,210.08528262527722,65.23289295015451,13.097135907430602,67.00506517874992,98.16425366545727,2213,1883,21.0,0.6,15034.0,,BU05180704,34.4,42.3,376.0,6.5,43.5,21.4,Visserijbuurt
18,171.13512239116733,25.86127411414482,16.19704862091954,84.40249262720197,100.0,940,1883,18.0,0.6,7060.0,,BU05180772,40.0,48.4,478.0,4.7,38.6,28.7,Rijslag
19,300.27186052492084,144.71352197273006,8.334106463885755,45.60670109848342,87.7555847533056,2719,1883,11.0,0.7,6343.0,,BU05180800,28.6,35.8,331.0,4.1,42.4,16.1,Duindorp
20,155.5213337904796,31.361070183161548,25.42227038509566,89.20890429918578,99.68542968277434,5180,1883,24.0,0.7,10350.0,,BU05180907,54.2,70.9,674.0,4.6,31.1,41.2,Statenkwartier
21,159.25150751768052,41.79695703361771,25.759532011024117,87.65717125498267,99.6153531157697,2289,1883,18.0,0.7,14028.0,,BU05180908,33.7,41.9,391.0,3.8,37.6,23.0,Geuzenkwartier
22,226.5891281126036,47.54897419416174,5.408797973853735,66.486382099765,98.03152739955713,407,1883,23.0,1.0,835.0,,BU05181041,64.6,78.6,896.0,6.1,25.4,46.6,Zorgvliet
23,189.2467597398006,50.290619297859735,15.243650753927266,78.1917510990236,99.6103446998234,1634,1883,23.0,0.6,12965.0,,BU05181142,44.6,54.5,448.0,4.6,25.4,37.7,Stadhoudersplantsoen
24,182.0055969389762,47.253129966751665,22.07395057273164,76.3934829812407,99.53891859399674,3033,1883,24.0,0.6,13825.0,,BU05181143,51.1,63.9,554.0,4.0,28.8,41.2,Sweelinckplein e.o.
25,358.66357107621945,105.00448427449253,4.063361575375358,28.812927534479805,77.53210511393482,1107,1883,15.0,0.9,8155.0,,BU05181250,41.5,50.1,491.0,1.2,27.4,35.1,Bloemenbuurt-West
26,237.92122025369656,35.685379711872066,6.6047270136141725,56.49077189585116,98.80298689420928,3207,1883,19.0,0.7,10879.0,,BU05181251,37.6,46.3,391.0,2.8,30.4,30.7,Bloemenbuurt-Oost
27,204.37545585128575,37.554980187656824,17.851910303590202,68.62254594011856,99.26640604708386,3433,1883,22.0,0.6,11608.0,,BU05181252,37.0,45.6,396.0,4.1,33.7,29.7,Bomenbuurt
28,437.84688521348613,82.8083160720559,1.544674641887612,16.59266001348645,66.04562984701369,2076,1883,17.0,1.2,2050.0,,BU05181309,52.3,69.6,868.0,2.2,30.9,45.9,Vogelwijk
29,269.68648687883893,12.75228234650457,0.0,48.018612649520776,98.72088612396631,210,1883,20.0,0.9,824.0,,BU05181481,,,437.0,2.0,27.6,32.2,Bosjes van Pex
30,304.39096040249746,34.200736457414,4.024374707447684,42.19262861208171,91.97995113034341,2968,1883,20.0,0.7,5882.0,,BU05181492,39.1,44.3,361.0,2.6,33.9,25.9,Bohemen en Meer en Bos
31,620.0441673289029,130.26492772848923,0.5987544054458555,4.836093274754986,43.999324095978366,550,1883,22.0,1.3,377.0,,BU05181590,52.6,63.7,566.0,3.3,32.2,38.2,Ockenburgh
32,303.1149027051933,107.59700157312375,10.158281419105496,47.043406548559815,87.66911212095194,1002,1883,13.0,0.9,1628.0,,BU05181591,45.2,52.6,644.0,2.1,32.7,33.2,Kijkduin
33,717.7855406847576,263.6975402082306,3.8881369389170035,15.230691122117193,44.46311385372396,3319,1883,25.0,1.1,3198.0,,BU05181697,41.0,54.6,526.0,4.5,30.4,34.2,Kraayenstein en Vroondaal
34,633.2310259561364,41.1534639959785,0.0,0.0,0.8317414520599341,201,1883,49.0,,190.0,,BU05181785,,,82.0,,,,Kerketuinen en Zichtenburg
35,361.8951461156047,36.663855017606814,5.8133172215365025,30.011385226191166,78.0154679391301,5534,1883,31.0,0.8,8913.0,,BU05181786,30.0,37.1,338.0,3.6,39.2,17.8,Houtwijk
36,367.1508416836885,139.17871816696288,5.192659467752405,31.40768667410551,79.04916777283569,2997,1883,21.0,0.6,11049.0,,BU05181795,29.3,34.2,252.0,3.6,42.5,12.4,Kom Loosduinen
37,327.9910484242098,45.58098225143708,0.0,16.226823620670174,94.05489120233848,1194,1883,31.0,0.6,9895.0,,BU05181806,28.0,33.5,253.0,5.1,46.0,12.7,Waldeck-Zuid
38,476.3585571248792,15.092957108223512,0.0,3.1659790024102294,55.42901203947407,3640,1883,32.0,0.7,11952.0,,BU05181840,24.9,31.2,270.0,6.0,48.6,10.0,Nieuw Waldeck
39,387.74901731975643,95.00199059537536,18.151166551535503,30.5609483081043,65.87341960850081,1995,1883,25.0,0.6,6593.0,,BU05181882,33.6,38.4,302.0,4.1,38.6,18.3,Rosenburg
40,238.70649137961135,22.163893196012847,6.121394912865769,51.43538512409944,99.58106703565075,1166,1883,19.0,0.7,12360.0,,BU05181893,39.8,45.7,384.0,1.4,27.9,27.7,Componistenbuurt
41,212.62375803737515,46.310609879092326,9.842579915906201,67.83144211608453,98.7004438554522,2180,1883,21.0,0.7,9393.0,,BU05181894,35.1,38.3,278.0,2.4,35.4,17.0,Waldeck-Noord
42,317.2053258601562,83.88014332576319,3.5297906944113198,32.53373571947698,91.12825461250819,3202,1883,17.0,0.8,13543.0,,BU05181953,39.2,49.2,441.0,1.9,28.8,34.9,Vruchtenbuurt
43,362.99932110683733,114.16169522939452,1.3367218184654655,23.90102584124074,83.3970290939278,1314,1883,19.0,0.7,5285.0,,BU05181983,36.4,43.9,370.0,2.2,30.2,29.1,Eykenduinen
44,156.66417099699996,30.293012006014653,28.324665577283188,84.84740279464096,99.94025841176399,3794,1883,30.0,0.5,16798.0,,BU05182054,30.2,36.9,283.0,4.6,38.5,18.3,Heesterbuurt
45,133.7549823927661,19.730766551980363,33.23770887367426,94.44915965738437,99.98839143857577,6025,1883,34.0,0.5,17873.0,,BU05182055,33.7,40.4,316.0,5.6,36.1,22.2,Valkenboskwartier
46,177.62195082750574,44.260555537919515,23.725981976565794,78.67028682966426,99.69736305465248,3491,1883,43.0,0.5,13549.0,,BU05182110,31.8,38.4,293.0,6.7,39.2,19.6,Rond de Energiecentrale
47,149.6592306425734,34.620542628603,30.297456820752338,88.55860001855521,99.83964308908298,4047,1883,29.0,0.5,18414.0,,BU05182144,37.9,45.6,396.0,6.2,34.7,28.1,Koningsplein e.o.
48,167.0692153525059,45.73085568917802,23.582710046075295,84.07014985595909,99.43265530755924,7160,1883,36.0,0.4,15745.0,,BU05182245,39.2,46.8,393.0,6.7,38.5,27.2,Zeeheldenkwartier
49,127.8540907513075,45.152579922427364,37.9472968130137,93.91026257638849,99.82685501142892,1187,1883,31.0,0.6,5256.0,,BU05182347,61.0,73.0,530.0,5.1,27.4,39.5,Willemspark
50,253.00722975792814,44.35438254959322,40.79306071871128,74.87342892547355,83.20360114305947,420,1883,28.0,0.7,397.0,,BU05182449,51.5,56.4,271.0,6.3,28.7,33.9,Haagse Bos
51,693.5659258681951,121.80321483268976,0.0,1.3975693424131264,28.9914384519188,2982,1883,47.0,0.7,8705.0,,BU05182561,29.3,36.3,251.0,6.4,44.7,16.6,Landen
52,293.8516444932025,87.0283202676589,8.474901218115077,37.35598553091714,94.13170472650026,1590,1883,46.0,0.6,4765.0,,BU05182567,31.3,39.1,254.0,6.0,41.4,20.0,Kampen
53,1219.9047905140133,158.61241479339103,0.0,0.0,0.5054297068141447,377,1883,23.0,1.2,878.0,,BU05182568,58.8,78.0,863.0,2.0,29.7,50.1,Marlot
54,407.98133895721213,143.7188829094991,2.8483829817520845,26.340260934788198,72.3936359505286,3880,1883,42.0,0.6,7114.0,,BU05182569,32.7,39.6,255.0,4.6,38.4,20.2,Burgen en Horsten
55,194.30552730797473,12.073671495147629,10.487084256179179,80.96205456436626,99.99381835415497,3067,1883,52.0,0.4,9343.0,,BU05182664,35.9,42.4,294.0,8.1,38.7,24.2,Bezuidenhout-West
56,212.3390950543643,33.6680427831665,17.354134716591975,60.49037001246252,99.92871563626457,2495,1883,32.0,0.8,8673.0,,BU05182665,47.0,60.0,463.0,4.3,25.6,43.7,Bezuidenhout-Midden
57,180.99293212818455,15.267780933552773,15.845599703031215,83.0000241808191,99.65203902480678,5249,1883,26.0,0.6,12269.0,,BU05182666,43.1,50.9,369.0,3.1,27.1,35.7,Bezuidenhout-Oost
58,161.6125746493697,45.98051134107177,29.00909942772885,83.87330140379323,99.76834767200206,4649,1883,61.0,0.2,17934.0,,BU05182718,24.4,28.7,223.0,8.7,57.4,10.1,Huygenspark
59,103.63596963835785,51.967452215636776,57.71375464684015,95.1593571133534,99.61820307429043,576,1883,45.0,0.2,9677.0,,BU05182762,27.0,29.6,207.0,12.7,51.2,9.8,Rivierenbuurt-Zuid
60,174.8220897044603,35.05951805752691,17.570191998325395,80.89696682406715,99.91967535664307,1918,1883,47.0,0.9,11020.0,,BU05182763,35.0,42.3,336.0,11.2,46.1,23.2,Rivierenbuurt-Noord
61,178.9453204558513,52.202518651076375,28.050532645205994,75.231667822572,99.45923100628217,4746,1883,42.0,0.4,13032.0,,BU05182811,34.6,40.5,318.0,7.6,43.1,22.4,Kortenbos
