artifact_type,provider,city,date,path,size_bytes,modified_at_utc
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010004.tar.gz,80045,2026-02-28T23:04:38Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010006.tar.gz,80096,2026-02-28T23:06:39Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010008.tar.gz,80092,2026-02-28T23:08:38Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010009.tar.gz,80094,2026-02-28T23:09:38Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010011.tar.gz,79990,2026-02-28T23:11:38Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010013.tar.gz,79932,2026-02-28T23:13:38Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010015.tar.gz,79896,2026-02-28T23:15:39Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010017.tar.gz,79787,2026-02-28T23:17:38Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010018.tar.gz,79632,2026-02-28T23:18:38Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010020.tar.gz,79636,2026-02-28T23:20:38Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010021.tar.gz,79685,2026-02-28T23:21:38Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010023.tar.gz,79637,2026-02-28T23:23:38Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010025.tar.gz,79396,2026-02-28T23:25:38Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010027.tar.gz,79454,2026-02-28T23:27:38Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010029.tar.gz,79440,2026-02-28T23:29:38Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010031.tar.gz,79489,2026-02-28T23:31:38Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010032.tar.gz,79495,2026-02-28T23:32:39Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010034.tar.gz,79802,2026-02-28T23:34:38Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010036.tar.gz,79910,2026-02-28T23:36:38Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010038.tar.gz,79916,2026-02-28T23:38:38Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010040.tar.gz,79961,2026-02-28T23:40:38Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010042.tar.gz,79820,2026-02-28T23:42:38Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010044.tar.gz,79864,2026-02-28T23:44:38Z
