year,service_category,period,weighted_departures,weighted_arrivals,lambda_departures_per_hour,lambda_arrivals_per_hour,n_trips,n_persons,low_unique_person_count
2020,1.0,evening,24741629.004748,26161154.90959,5648.773745376257,5972.866417714612,629,436,False
2020,1.0,morning,13095917.962392,12748090.897583,2989.9356078520545,2910.523035977854,313,267,False
2020,2.0,evening,38923384.182987,38531768.447005,8886.617393376027,8797.20740799201,661,476,False
2020,2.0,morning,19738398.486895,19519344.817418,4506.483672807078,4456.471419501827,329,272,False
2020,3.0,evening,47531858.609743,49749077.883331,10852.022513639955,11358.236959664611,864,541,False
2020,3.0,morning,21965310.220144,20754107.651283,5014.9110091652965,4738.380742302054,382,302,False
2020,4.0,evening,45831451.831751,42152617.370273,10463.801788071005,9623.885244354567,670,476,False
2020,4.0,morning,18814218.775336,21225033.228056,4295.483738661188,4845.8979972730585,309,272,False
2021,0.0,evening,32901718.793154,34831540.415271,7511.807943642466,7952.406487504794,534,400,False
2021,0.0,morning,20893365.949362,18435602.305038,4770.174874283562,4209.041622154795,297,253,False
2021,1.0,evening,31927152.01142,31966531.359593,7289.304112196347,7298.294830957307,763,493,False
2021,1.0,morning,15593514.892194,16379041.315098,3560.16321739589,3739.5071495657535,390,316,False
2021,2.0,evening,41661032.200144,42569465.640065,9511.65118724749,9719.05608220662,729,537,False
2021,2.0,morning,23639968.586317,24196656.747642,5397.253101898858,5524.350855626028,428,356,False
2021,3.0,evening,48912217.8177,49800998.23038,11167.173017739726,11370.090920178081,868,553,False
2021,3.0,morning,23727588.912868,23599059.819268,5417.257742663927,5387.9132007461185,427,333,False
2021,4.0,evening,48007544.190006,44853699.433964,10960.62652739863,10240.570647023744,733,515,False
2021,4.0,morning,22042841.228931,23368363.756145,5032.612152723972,5335.242866699772,358,293,False
2022,0.0,evening,37390626.657616,40649121.603038,8536.672752880364,9280.62137055662,590,410,False
2022,0.0,morning,18676359.639781,15891429.519230999,4264.00905017831,3628.1802555321915,263,214,False
2022,1.0,evening,33194531.286594998,32561264.116808,7578.660111094749,7434.078565481279,771,516,False
2022,1.0,morning,14042176.70918,13999605.768409,3205.9764176210047,3196.2570247509134,355,295,False
2022,2.0,evening,46046226.021258,46894288.155463,10512.836991154794,10706.458482982422,746,544,False
2022,2.0,morning,23056460.626249,21554767.701248,5264.032106449543,4921.17984046758,370,312,False
2022,3.0,evening,58161290.969771,55533375.260898,13278.833554742238,12678.85279929178,972,627,False
2022,3.0,morning,24866306.295323,27090722.850082,5677.238880210731,6185.096541114611,453,361,False
2022,4.0,evening,69057576.993435,68140812.233806,15766.570089825342,15557.263067078995,951,641,False
2022,4.0,morning,26017751.767117,27898047.050798,5940.125974227626,6369.417134885388,399,346,False
2023,0.0,evening,35132206.324663,34683080.473768,8021.051672297489,7918.511523691325,522,409,False
2023,0.0,morning,17162260.486316,18606406.785121,3918.3243119442923,4248.03807879475,279,253,False
2023,1.0,evening,36207803.744808,35797609.690899,8266.621859545206,8172.970249063698,807,541,False
2023,1.0,morning,17287455.615593,16842508.730509,3946.9076747929225,3845.321627970092,412,348,False
2023,2.0,evening,43826162.74819,47042496.788497,10005.973230180365,10740.296070433105,763,534,False
2023,2.0,morning,24141375.014448,21112691.645733,5511.729455353424,4820.249234185616,398,331,False
2023,3.0,evening,49155028.055166,50616771.7564,11222.609145015069,11556.340583652966,846,552,False
2023,3.0,morning,26201818.528301,24179655.935198,5982.15034892717,5520.469391597718,441,354,False
2023,4.0,evening,61882045.455006,58762483.505273,14128.320880138357,13416.092124491552,901,627,False
2023,4.0,morning,24338082.259045,27032900.411979,5556.639785170092,6171.895071228082,408,346,False
pooled_2018_2023,0.0,evening,33406209.777187165,34475059.197237335,7626.988533604376,7871.018081561036,2858,2171,False
pooled_2018_2023,0.0,morning,17801842.922163665,16577278.9208385,4064.3476991241246,3784.766876903767,1449,1240,False
pooled_2018_2023,1.0,evening,32932530.683143165,32170945.330210168,7518.842621722183,7344.964687262595,4021,2754,False
pooled_2018_2023,1.0,morning,15926645.931586167,16516620.272069333,3636.220532325609,3770.917870335464,2025,1692,False
pooled_2018_2023,2.0,evening,44031018.70665983,44776081.88524883,10052.7439969543,10222.849745490601,4037,2899,False
pooled_2018_2023,2.0,morning,22066634.777062,21643899.942382835,5038.0444696488585,4941.529667210693,2055,1714,False
